# source: papers/2026-06-z5-no-salem-dichotomy/Z5-no-salem-dichotomy-whitepaper.tex; generated by: code/2026-06-z5-no-salem-dichotomy/verification_table.py
check,result
2cos72 = phi-1 ; 2cos144 = -phi (symbolic),True
phi^2 - phi - 1 = 0 (cross-term collapse),0
"{2cos72, 2cos144} are roots of",x^2 + x - 1 => Galois-conjugate over Q (True)
"charge-5 quartics, |c|<=10: distinct M","{1, phi^4}, phi^4=6.854102"
"(k,m) minimizer; minimizer object","(3,1) -> s=phi^2 ; x^4 - x^3 + 6x^2 + 4x + 1, M=phi^4"
"charge-5 quartics with M in (1,2)",0
non-reciprocal charge-5 found; min M,13 objects; min=2 (x^5-2 and kin)
all non-reciprocal obey M >= mu_S,True
"non-reciprocal charge-5 in [mu_S, 2)",0 (the residual window)
reciprocal charge-5 found; measures,"4 objects; {1, phi^2, 2+sqrt3} (all = Phi_5 x real recip. unit)"
"reciprocal charge-5 in (1,2)",0
psi^5(x^5-2),"2 (mult 5), totally positive; M(O)=32^(1/5)=2 (True)"
"overall charge-5 with M in (1,2)",0  (realized floor 2.0)
