# source: papers/2026-07-relational-charge/relational_charge_paper.tex; generated by: code/2026-07-relational-charge/consolidation_ledger.py
entry,object,exact_result,status,paper_ref
A,x^3-2,"contacts {Phi_1^3, Phi_3^3}; Delta=Z/3, anchor n=3, M=2",[forced],Thm 4.1 / rem:scope
B,x^3+2,"contacts {Phi_1^3, Phi_3^3} (= A, gauge-blind); Delta=Z/3, anchor n=6; T(x^3+2)=x^3-2",[forced],rem:scope
C,x^4-2,"contacts {Phi_1^4, Phi_2^4, Phi_4^4}: relational recovery of Z/4",[forced],ex:twistshell
D,q2=x^4+x^2-1,"contacts {Phi_1^4, Phi_2^4}; full Delta=Z/4 (symbolic); M=phi",[forced],Sec 7 method
E,x^4+5x^2+5,"Eisenstein@5; anchor n=4, Delta=Z/2 (group drop), M=5; contacts {Phi_1^4, Phi_2^4}",[forced],Ex 4.6
F,K=x^4+5x^2-5,"contacts {Phi_1^4, Phi_2^4} (= E); full type differs: Delta=Z/4 (shell sig strictly coarser)",[forced],Ex 4.6 / rem:scope
G,beta4,contacts {Phi_1^4} only (complete M<=512); two-route resultant=Kronecker agree,[forced] per inst.,Thm 7.9
H,Lehmer (deg 10),deg Rat_L=100; contacts {Phi_1^10} (complete M<=20000),[forced] per inst.,Thm 7.9
I,beta4 x L mixed,gcd=1; deg Rat=40; contacts empty (not circle-locked),[forced] per inst.,Thm 8.2
J,golden pair,"phi/phi' = -phi^2 (negative real): t_rel(phi,phi')=1/2",[forced],Lem 5.1
K,y^2+y-1,roots 1/phi>0 and -phi<0 (real +- pair behind q_k): max=-1/2 + sqrt(5)/2,[forced],Lem 5.2
L,coset arithmetic,"e,m odd => (e+m)/2m in (1/m)Z/Z for m in {3,5,7,9}: holds",[forced],Lem 5.3
M,cross-engine (PARI/GP),"entries A-I,P,Q,U,V + round-8 X recomputed in PARI/GP 2.15.4 (polresultant+poliscyclo); external second stack, not run here",[computed] (external),Sec 8 method
N,totient bound,"2 phi(M)^2 >= M for all M<=2e5: 0 violations, unique tight case [2]",[forced]+[computed],Lem 4.5
O,Salem certification,"beta4,S6,S8,L: reciprocal+irreducible, trace-Sturm (1,0,d-1) all pass = True",[forced] per inst.,Thm 7.10
P,"S6, S8 inertness",Rat_S6 (deg 36) {Phi_1^6}; Rat_S8 (deg 64) {Phi_1^8},[forced] per inst.,Thm 7.10
Q,pairwise locking batch,"5 mixed objects (deg 24,32,48,60,80): all empty contacts = True",[forced] per inst.,Rem 8.4
R,quadratic identities,(1+sqrt5)/2=phi: True; (3+sqrt5)/2=phi^2: True,[forced],App D
S,beta4 (x) beta4,"(x-1)-mult=4, deg gcd(F,F')=7, 3 distinct positive reals (non-inert)",[forced] structure,Ex 8.5
T,degree-12 census,"729 recip {-1,0,1}-polys; 378 twist-classes (27 fixed); 37 Salem; all deg-144 scans {Phi_1^12}. Full run: census_deg12.py",[forced] per inst.; [computed] family,Thm 6.13
U,twisted-shell witness,"q=x^2+x+2 {Phi_1^2} (angle irrational); p=x^4+x^2+2 {Phi_1^4, Phi_2^4}, M=2 (non-inert)",[forced],Ex 7.21
V,larger-coeff spot checks,"first five deg-12 Salem twist-classes with a coeff outside {-1,0,1}: all {Phi_1^12}. Full run: spot_checks_larger_coeff.py",[forced] per inst.,Rem 6.14
W,plastic; census tally,x^3-x-1 {Phi_1^3} (inert Pisot); census rejection tally 39/256/46/0/37 sum 378. Full: census_deg12.py,[forced] per inst.,Ex 7.19 / Rem 6.14
X,x^4-x+1 (nu executed),charpoly(C(x)C)=S6^2*(x^4+2x^2-x+1) True; Rat_p {Phi_1^4}; nested Rat_Rat deg 256 {Phi_1^28} (showcase); Gal order 24(S4); M=tau_S6,[forced] per inst.,Ex 6.20
