# source: papers/2026-06-lehmers-box/lehmers_box.tex; generated by: code/2026-06-lehmers-box/constants.py
key,symbol,description,minimal_polynomial,closed_form,value,paper_location,role
phi,varphi,golden ratio; the floor wall of Lehmer's Box,x^2 - x - 1,(1+sqrt5)/2,1.61803398874989484820458683436563811772,abstract; Def. 2.9; Sec. 1.3,floor wall
tau,tau,"tau = phi^{-1}, smaller root of x^2 + x - 1",x^2 + x - 1,(-1+sqrt5)/2,0.6180339887498948482045868343656381177203,Def. 2.9,catalog seed (tau)
mu_S,mu_S,plastic number; smallest Pisot; Smyth non-reciprocal bound,x^3 - x - 1,real root of x^3-x-1,1.324717957244746025960908854478097340734,Sec. 1.2; Lem. 2.7,Smyth floor mu_S
log_mu_S,log mu_S,natural log of the Smyth floor (nats),,ln(mu_S),0.281199574322961846512050764067878299792,Cor. 4.9 (eq. floorval),cost floor (Smyth)
log_phi,log varphi,natural log of the realised golden floor (nats),,ln(phi),0.4812118250596034474977589134243684231352,Cor. 4.9 (eq. floorval),cost floor (realised)
Mah_L,Mah(L),Mahler measure of Lehmer's number L (smallest known),x^10+x^9-x^7-x^6-x^5-x^4-x^3+x+1,dominant root of L (Salem),1.176280818259917506544070338474035050693,Sec. 1.2,"excluded emission (Salem, sub-mu_S)"
beta_4,beta_4,minimal degree-four Salem number; beta_4 > phi,x^4 - x^3 - x^2 - x + 1,dominant root (Salem),1.72208380573904224502706921215383146207,Cor. 5.5,"minimal Salem in K, above the floor"
gap,phi^4,"'gap' seed value; roots phi^4, phi^-4 of x^2-7x+1",x^2 - 7x + 1,phi^4,6.854101966249684544613760503096914353161,Def. 2.9; Rem. 3.3,catalog seed (gap)
imag_place_K,|i beta|,modulus of the off-circle complex place of Q(5^{1/4}),x^4 + 5x^2 - 5 (imag root),sqrt((5+3sqrt5)/2),2.419525153051665330964032180217076538652,Sec. 5 (closing),complex place OFF the unit circle
fourth_root_5,5^{1/4},fourth root of 5; other off-circle modulus in Q(5^{1/4}),x^4 - 5,5^{1/4},1.495348781221220541911898994140913395363,Sec. 5 (closing),complex place OFF the unit circle
