# source: papers/2026-06-emission-gap/emission_gap_paper.tex; generated by: code/2026-06-emission-gap/signature_lattice.py
label,source,generator_or_minpoly,degree,signature_r1_r2,trace_form_signature,trace_form_predicted_m+1_m-1,kind,paper_location
beta_4 (min deg-4 Salem),minpoly,x**4 - x**3 - x**2 - x + 1,4,"(2,1)","(3,1)","(3,1)","signature_(2k,k)",Prop 9.1 / Cor 10.4
Lehmer (deg-10 Salem),minpoly,x**10 + x**9 - x**7 - x**6 - x**5 - x**4 - x**3 + x + 1,10,"(2,4)","(6,4)","(6,4)","salem_shape_(2,m-1)",Prop 9.1
K-formation x^4+5x^2-5,minpoly,x**4 + 5*x**2 - 5,4,"(2,1)","(3,1)","(3,1)","signature_(2k,k)",Prop 9.1 (Lorentzian generator)
2K difference x^4+20x^2-80,minpoly,x**4 + 20*x**2 - 80,4,"(2,1)","(3,1)","(3,1)","signature_(2k,k)","Lemma 10.2 (real, not Salem)"
sqrt2 seed x^2-2,minpoly,x**2 - 2,2,"(2,0)","(2,0)",n/a,totally_real,Prop 9.1 (definite)
sqrt5 seed x^2-5,minpoly,x**2 - 5,2,"(2,0)","(2,0)",n/a,totally_real,Prop 9.1 (definite)
phi seed x^2-x-1,minpoly,x**2 - x - 1,2,"(2,0)","(2,0)",n/a,totally_real,Prop 9.1 (definite)
Q(5^{1/4}),primitive_element,5**(1/4),4,"(2,1)",,,"signature_(2k,k)",Thm 10.3 (only Salem-shaped subfield)
"Q(sqrt2,5^{1/4})",primitive_element,sqrt(2) + 5**(1/4),8,"(4,2)",,,"signature_(2k,k)",Thm 10.3
"Q(sqrt2,sqrt3,sqrt5)",primitive_element,sqrt(2) + sqrt(3) + sqrt(5),8,"(8,0)",,,totally_real,Thm 10.3 (totally real)
"K=Q(sqrt2,sqrt3,5^{1/4})",primitive_element,sqrt(2) + 5**(1/4) + sqrt(3),16,"(8,4)",,,"signature_(2k,k)",Thm 10.3 (full field)
Q(zeta_5),cyclotomic,Phi_5(x),4,"(0,2)",,,totally_complex_CM,"Prop 12.3 (circulant field, CM)"
Q(zeta_7),cyclotomic,Phi_7(x),6,"(0,3)",,,totally_complex_CM,"Prop 12.3 (circulant field, CM)"
Q(zeta_8),cyclotomic,Phi_8(x),4,"(0,2)",,,totally_complex_CM,"Prop 12.3 (circulant field, CM)"
Q(zeta_12),cyclotomic,Phi_12(x),4,"(0,2)",,,totally_complex_CM,"Prop 12.3 (circulant field, CM)"
