# source: papers/2026-07-helix-orthogonal-partner/helix_orthogonal_partner.tex; generated by: code/2026-07-helix-orthogonal-partner/harness.py
claim,verdict,certificate,class
"screw generator = R, R^2 = R+I",forced,Prop. 2.2,survivor
winding = chi in Z/4Z ; pitch = M >= phi,forced,"Def. 2.4, Lem. 3.2",survivor
"coupling rate = spec(ad_R) = {0, +/-sqrt5}",forced,Prop. 2.3,survivor
terrain/rotation = two faces of D=1+4C,forced,"Thm. 4.2, Prop. 5.1",survivor
closure via the orthogonal partner Kf,forced,"Prop. 6.1, Thm. 7.2",survivor
a helix couples to a copy of itself,refuted,"Cor. 3.5: [R,R]=0, empty slot",casualty
phi^-4 ~ 0.146 cutoff ('last power > 0.1'),refuted,superseded; lambda=2c never uses it,casualty
the algebra is founded on the helix,refuted,order keystone->char->flip,casualty
"(x) = 'intertwine', (+) = 'stack'",posited,law forced; reading not adjudicable,residue
the helix as a reading of the flip,posited,"survives as interpretation, not object",residue
